image_file_path,image_content,content_type
init_img,init_content,init_type
D:/repo/clara-image-genie\test_images\aarn-giri-IBhsB71R97k-unsplash.jpg,a bird flying through the air with a blue sky,image description
D:/repo/clara-image-genie\test_images\andres-gomez-tlKTvMlu_fA-unsplash.jpg,a wooden chair sitting on top of a wooden bench,image description
D:/repo/clara-image-genie\test_images\andriyko-podilnyk-RCfi7vgJjUY-unsplash.jpg,a cat sitting in the middle of a grassy field,image description
D:/repo/clara-image-genie\test_images\anne-rosly-RZo9TnwsYhQ-unsplash.jpg,a street sign with a bunch of stickers on it,image description
D:/repo/clara-image-genie\test_images\belinda-fewings-xE8CrYMf84E-unsplash.jpg,a red and white street sign on a wooden pole,image description
D:/repo/clara-image-genie\test_images\benigno-hoyuela-AqX_786_G0g-unsplash.jpg,a book that is on top of a pile of books,image description
D:/repo/clara-image-genie\test_images\bogdan-farca-CEx86maLUSc-unsplash.jpg,a cat that is standing in front of a window,image description
D:/repo/clara-image-genie\test_images\bogdan-kupriets-FqmrlQ2cezk-unsplash.jpg,a wooden floor with a wooden floor,image description
D:/repo/clara-image-genie\test_images\brendan-church-pKeF6Tt3c08-unsplash.jpg,a street sign on a pole in front of a tall building,image description
D:/repo/clara-image-genie\test_images\chang-qing-8oPubUm97Cc-unsplash.jpg,a grassy field with a bunch of green leaves,image description
D:/repo/clara-image-genie\test_images\florian-klauer-nptLmg6jqDo-unsplash.jpg,a pink and white kite sitting on top of a table,image description
D:/repo/clara-image-genie\test_images\giorgio-trovato-K62u25Jk6vo-unsplash.jpg,a black-and-white photo of a black-and-white photo,image description
D:/repo/clara-image-genie\test_images\gunnar-ridderstrom-2teCcBcAZw4-unsplash.jpg,a boat on a body of water near a dock,image description
D:/repo/clara-image-genie\test_images\iman-Vaugz0s98pI-unsplash.jpg,a red stop sign sitting on the side of a road,image description
D:/repo/clara-image-genie\test_images\jari-hytonen-YCPkW_r_6uA-unsplash.jpg,a cat sitting in a basket next to a bunch of plants,image description
D:/repo/clara-image-genie\test_images\jon-tyson-pFnvc1Cu6zI-unsplash.jpg,a book that is sitting on a table,image description
D:/repo/clara-image-genie\test_images\kari-shea-eMzblc6JmXM-unsplash.jpg,a cat that is sitting on a chair,image description
D:/repo/clara-image-genie\test_images\karina-vorozheeva-Kol2ib6ehQE-unsplash.jpg,a bouquet of flowers in a vase on a sunny day,image description
D:/repo/clara-image-genie\test_images\karina-vorozheeva-rW-I87aPY5Y-unsplash.jpg,a cat that is looking at something on the ground,image description
D:/repo/clara-image-genie\test_images\kote-puerto-so5nsYDOdxw-unsplash.jpg,a cat sitting on top of a bed,image description
D:/repo/clara-image-genie\test_images\logan-weaver-lgnwvr-gMb4pRfDB0Y-unsplash.jpg,a large white boat on a body of water,image description
D:/repo/clara-image-genie\test_images\luke-chesser-LG8ToawE8WQ-unsplash.jpg,a computer screen with a picture of a person on it,image description
D:/repo/clara-image-genie\test_images\matthew-feeney-36BKnAgziog-unsplash.jpg,a sign on the side of a road,image description
D:/repo/clara-image-genie\test_images\michael-sum-LEpfefQf4rU-unsplash.jpg,a cat sitting on the floor next to a wooden floor,image description
D:/repo/clara-image-genie\test_images\ochir-erdene-oyunmedeg-LmyPLbbUWhA-unsplash.jpg,a grassy field with a bunch of green leaves,image description
D:/repo/clara-image-genie\test_images\paul-hanaoka-w2DsS-ZAP4U-unsplash.jpg,a cat sitting on top of a wooden table,image description
D:/repo/clara-image-genie\test_images\raoul-droog-yMSecCHsIBc-unsplash.jpg,a cat wearing sunglasses looking at the camera,image description
D:/repo/clara-image-genie\test_images\screenshot-east-howe.jpg,a collage of photos showing different types of food,image description
D:/repo/clara-image-genie\test_images\screenshot-Feynman-diagram.jpg,a collage of photos of a man in a blue shirt,image description
D:/repo/clara-image-genie\test_images\screenshot-meme-pip-future.jpeg,a collage of photos of a man and a woman,image description
D:/repo/clara-image-genie\test_images\screenshot-quantum-electrodynamics.jpg,a collage of photos of a man in a blue shirt,image description
D:/repo/clara-image-genie\test_images\screenshot-science-wikibooks.jpg,a computer screen with a picture of a person on it,image description
D:/repo/clara-image-genie\test_images\screenshot-wikignome.jpg,a collage of photos of a person with a computer,image description
D:/repo/clara-image-genie\test_images\sebastian-coman-travel-dtOTQYmTEs0-unsplash.jpg,a pair of sunglasses sitting on top of a beach,image description
D:/repo/clara-image-genie\test_images\tim-mossholder-24a3DKNvl1U-unsplash.jpg,a street sign on a pole with mountains,image description
D:/repo/clara-image-genie\test_images\visnu-deva-WZBSRWPKBDw-unsplash.jpg,a grassy field with a sky background,image description
D:/repo/clara-image-genie\test_images\wren-meinberg-AL2-t0GrSko-unsplash.jpg,a cat that is standing on the edge of a pier,image description
