image_file_path,image_content,content_type
init_img,init_content,init_type
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/aarn-giri-IBhsB71R97k-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/andres-gomez-tlKTvMlu_fA-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/andriyko-podilnyk-RCfi7vgJjUY-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/anne-rosly-RZo9TnwsYhQ-unsplash.jpg,['6211 km'  'E Q U AT 0R'  'nm'  '3827 km'  '2066 nm'  'VANCOL'  'SSR'  '6059 nm'  'm'  '0'  'U'  'I'  'nm'  '0'  'km'  'OF'  '1220'  'B L U F F'  '659 nm'  '784 nm'  '1452 km'  'nm'  'Kh'  '4'  'POLE'  'SOUTH'  '3383'  'v'  '9'  'ANGEA'  'LOS _'  '1047'  '5709 '  '" CAPRICORM'  '6'  'TROPIG 6'  'T 0 K y 0'  '4576 ='  '8475 !'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/belinda-fewings-xE8CrYMf84E-unsplash.jpg,['THE'  'DECK'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/benigno-hoyuela-AqX_786_G0g-unsplash.jpg,[''  '1p'  'of'  'to the Moon'  'By E. C Reichert'  'V"o"oEn like togeto the moonlon'  'steered by a gyroscope.'  '4'  'space ship?'  'asked'  'Miss Rose  the'  '"Right!'  'said'  'the'  '"That'  'Ond-gtade teaeher;'  '15 her class turned'  'knows'  'about   space'  'Now    then '  'notice the holes in the tail. What are'  'I1'  'the'  'HHUSCUIII'  'hall:'  'Twenty'  'CO'  'for?'  'AEORGE'  'CROLY'  '8 PIRIT'  'Anente'  'medento'  'OF'  'GOD'  '(Origmnal'  '2'  'True'  'and'  'Could-be'  'Stories'  'True'  'Adventure'  'Ship'  'Space'  'guide.'  'boy'  'ships:'  'they'  'wrer'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/bogdan-farca-CEx86maLUSc-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/bogdan-kupriets-FqmrlQ2cezk-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/brendan-church-pKeF6Tt3c08-unsplash.jpg,['K'  'W'  'FL'  'EF'  'ONE'  'DEPT'  '0 F'  'TRANSPO RTATiON'  'FFF'  'WAY'  'ONE'  'TRANSPOR TATION'  'WWAY'  '0F'  'D ERT'  '{RoES'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/chang-qing-8oPubUm97Cc-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/florian-klauer-nptLmg6jqDo-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/giorgio-trovato-K62u25Jk6vo-unsplash.jpg,['Re'  'P'  'RyBn'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/gunnar-ridderstrom-2teCcBcAZw4-unsplash.jpg,['IMO 8517542'  '36'  '36'  '30'  '30'  'TS ` " )'  'BERGEN'  'HALTBAKK'],ocr
